V1	VCF0009x	VCF0010x	VCF0011x	VCF0009y	VCF0009z	VCF0010z	VCF0011z	VCF0018a	VCF0050a	VCF0071c	VCF0102	VCF0104	VCF0106	VCF0108	VCF0112	VCF0113	VCF0114	VCF0118	VCF0127	VCF0128	VCF0130a	VCF0140	VCF0143	VCF0146	VCF0147	VCF0148a	VCF0149	VCF0156	VCF0157	VCF0209	VCF0210	VCF0211	VCF0212	VCF0218	VCF0223	VCF0224	VCF0227	VCF0228	VCF0232	VCF0233	VCF0253	VCF0290	VCF0291	VCF0303	VCF0305	VCF0310	VCF0346	VCF0349	VCF0358	VCF0359	VCF0360	VCF0361	VCF0370	VCF0371	VCF0372	VCF0373	VCF0374	VCF0380	VCF0386	VCF0392	VCF0412	VCF0413	VCF0414	VCF0415	VCF0424	VCF0425	VCF0426	VCF0427	VCF0428	VCF0450	VCF0475	VCF0481	VCF0487	VCF0493	VCF0501	VCF0502	VCF0503	VCF0504	VCF0605	VCF0606	VCF0609	VCF0613	VCF0624	VCF0648	VCF0649	VCF0656	VCF0703	VCF0704	VCF0719	VCF0721	VCF0723a	VCF0729	VCF0733	VCF0734	VCF0741	VCF0801	VCF0804	VCF0806	VCF0809	VCF0823	VCF0830	VCF0838	VCF0839	VCF0843	VCF0846	VCF0847	VCF0849	VCF0850	VCF0851	VCF0852	VCF0853	VCF0854	VCF0867	VCF0870	VCF0871	VCF0872	VCF0876	VCF0878	VCF0879a	VCF0880	VCF0881	VCF0886	VCF0887	VCF0888	VCF0890	VCF0894	VCF0903	VCF0905	VCF0991	VCF0992	VCF1011	VCF9005	VCF9009	VCF9013	VCF9016	VCF9017	VCF9018	VCF9021	VCF9022	VCF9023	VCF9027	VCF9028	VCF9029	VCF9030a	VCF9030b	VCF9030c	VCF9031	VCF9032	VCF9039	VCF9040	VCF9041	VCF9042	VCF9045	VCF9047	VCF9048	VCF9049	VCF9054	VCF9069	VCF9081	VCF9084	VCF9085	VCF9086	VCF9087	VCF9088	VCF9089	VCF9092	VCF9093	VCF9094	VCF9095	VCF9096	VCF9122	VCF9131	VCF9132	VCF9133	VCF9201	VCF9202	VCF9203	VCF9204	VCF9205	VCF9206	VCF9207	VCF9208	VCF9209	VCF9210	VCF9211	VCF9212	VCF9213	VCF9214	VCF9215	VCF9216	VCF9217	VCF9218	VCF9219	VCF9220	VCF9221	VCF9222	VCF9223	VCF9224	VCF9225	VCF9226	VCF9227	VCF9228	VCF9229	VCF9230	VCF9232	VCF9233	VCF9234	VCF9235	VCF9236	VCF9237	VCF9238	VCF9239	VCF9240	VCF9241	VCF9242	VCF9243	VCF9244	VCF9245	VCF9246	VCF9247	VCF9248	VCF9249	VCF9250	VCF9251	VCF9252	VCF9253	VCF9255	VCF9256	VCF9257	VCF9258	VCF9259	VCF9260	VCF9261	VCF9262	VCF9265	VCF9267	VCF9268	VCF9269	VCF9270	VCF9271	VCF9272	VCF9273	VCF9275	VCF9277	VCF9278	VCF9279	VCF9280	VCF9281	VCF9282
350	1	1	1	0	1	1	1	0	9	2	6	2	1	2	1	2	1	3	1	2	5	6	1	1	4	1	3	0	0	40	85	85	85	30	70	85	60	30	85	15	50	58	23	3	2	2	1	1	1	1	2	2	1	2	1	1	5	1	1	5	43	8	50	50	0	50	85	50	0	2	5	5	5	5	2	2	4	4	1	1	1	1	2	0	50	0	3	2	1	1	2	1	5	9	2	49	2	7	6	1	6	4	2	5	1	2	5	2	1	5	1	3	5	5	4	3	1	1	5	3	2	2	2	1	2	3	2	2	5	5	1	60	5	1	4	3	2	1	1	0	2	1	1	2	2	2	5	0	3	1	1	5	1	1	1	1	2	4	5	2	1	7	3	1	6	6	7	2	6	4	3	1	1	1	3	9	1	2	3	1	0	9	4	5	3	5	2	2	2	2	2	2	3	1	3	2	2	2	2	3	1	1	2	1	1	2	4	2	1	1	2	2	5	3	8	2	4	5	2	2	2	2	2	4	2	5	2	1	1	1	3	2	1	2	1	30	40	85	2	3	3	1	2	2	2	1	1	1	1
351	2	2	2	0	1	1	1	0	9	2	3	2	3	1	4	2	3	2	2	2	5	4	5	1	1	1	3	0	0	50	70	85	30	85	97	30	50	40	97	85	60	58	78	1	4	3	2	1	2	2	1	1	1	1	2	2	1	1	5	1	50	85	50	50	85	50	15	50	97	1	1	1	1	1	2	2	4	6	1	2	2	2	1	100	0	25	3	1	2	2	4	2	1	1	2	21	1	5	3	2	5	1	5	2	1	2	1	3	4	2	2	1	5	1	2	2	1	1	3	1	1	1	1	2	1	2	2	2	5	5	1	60	1	1	3	2	3	5	1	0	1	1	1	1	2	1	5	0	2	2	3	4	3	1	2	2	1	5	4	3	3	6	3	2	7	7	7	2	6	7	2	2	1	1	7	3	2	1	1	2	6	1	1	3	1	3	5	5	4	3	1	1	1	1	2	2	4	2	1	1	1	1	2	2	3	6	4	2	1	1	1	2	5	2	6	2	3	1	3	3	3	3	4	3	3	3	2	1	1	1	2	2	1	2	1	85	50	100	2	2	2	1	3	2	2	1	1	1	1
352	2	2	2	0	2	2	2	0	4	1	2	2	3	1	2	2	3	1	1	4	5	6	1	2	7	1	3	5	5	40	60	50	15	70	50	15	60	50	50	60	50	43	78	1	3	2	2	1	2	2	1	2	1	1	2	2	1	5	5	1	43	93	48	60	85	59	0	50	85	1	1	5	5	5	2	2	4	6	1	1	1	1	1	0	0	0	3	1	1	1	2	2	7	1	2	31	1	1	4	2	4	3	5	4	2	5	1	3	4	5	5	1	5	3	3	3	1	1	3	2	1	1	1	1	1	2	2	2	5	4	1	50	1	1	3	4	1	5	1	0	1	2	3	2	2	2	5	0	4	3	3	3	3	1	1	1	1	4	4	4	3	5	5	4	5	7	6	2	7	7	2	1	1	1	6	3	1	1	3	1	7	0	4	3	3	4	5	5	5	5	1	1	2	1	2	1	4	2	2	3	1	1	2	1	3	6	3	2	1	2	1	2	4	3	8	2	3	2	3	3	3	1	5	4	3	4	3	2	2	2	4	2	1	2	2	50	50	50	2	3	2	2	1	1	1	1	2	1	1
353	1	1	1	0	1	1	1	0	3	1	1	1	1	2	2	2	2	1	2	4	5	2	1	2	1	1	3	1	5	70	70	40	50	50	97	60	60	40	97	0	60	55	45	3	3	3	1	1	1	1	2	2	1	2	1	1	5	1	1	5	43	8	53	40	0	44	85	60	40	1	1	1	1	1	1	2	3	5	1	1	1	1	2	0	50	0	3	2	1	1	2	1	2	9	2	54	2	3	1	2	4	2	4	7	2	5	1	2	5	2	2	1	5	3	3	1	1	1	3	1	1	1	1	1	1	3	2	2	1	5	1	40	5	2	5	2	4	5	1	0	2	2	3	2	2	2	5	0	5	1	3	5	1	2	2	2	1	2	4	6	1	2	5	5	7	6	5	6	3	5	2	1	1	2	2	8	1	2	2	2	0	10	5	5	3	5	1	2	3	2	1	2	2	1	2	2	3	2	3	5	1	2	1	1	1	1	4	2	1	1	3	1	5	3	7	2	4	1	3	1	1	3	4	3	3	4	2	1	2	2	4	2	1	2	2	50	40	50	4	4	4	4	2	1	2	1	1	1	1
354	1	1	1	0	1	1	1	0	2	1	4	1	1	2	3	1	4	1	1	1	2	5	1	2	1	6	1	5	5	85	70	30	85	30	97	70	50	70	70	50	70	50	30	3	2	2	1	1	1	1	1	1	1	2	1	1	5	1	1	5	50	15	58	31	15	44	85	75	15	2	5	1	1	5	2	2	2	6	1	1	3	2	2	75	50	0	3	2	1	1	2	2	3	9	2	76	3	5	5	2	6	3	2	7	1	3	5	1	1	5	1	3	5	3	3	3	1	1	3	1	1	1	1	1	1	3	1	2	1	1	1	70	5	1	4	1	2	5	1	0	2	2	3	2	2	2	5	0	4	2	2	4	3	1	1	1	2	1	2	3	2	6	2	2	6	5	5	3	5	6	3	2	1	1	2	9	1	2	3	2	2	9	4	4	3	2	2	1	2	2	2	2	3	2	3	2	2	1	2	3	1	2	2	1	1	2	4	2	1	1	2	1	9	0	9	1	2	2	3	1	1	3	5	2	4	4	2	1	1	1	4	2	1	2	2	40	85	85	3	3	3	3	2	1	1	1	1	1	1
355	1	1	1	0	0	0	0	0	4	1	4	2	1	2	4	2	4	1	1	4	5	5	1	1	2	4	1	5	5	50	60	85	40	70	70	40	50	50	85	60	70	55	65	1	3	3	2	1	2	2	1	1	1	1	2	2	1	5	5	1	43	78	51	58	70	60	15	41	97	1	1	1	1	1	2	2	2	7	1	1	1	1	2	0	50	0	3	1	1	2	2	1	2	1	1	26	1	3	4	2	3	4	5	3	2	5	1	3	4	4	2	1	5	1	2	5	1	1	5	1	2	1	2	1	1	2	1	2	2	4	1	50	1	1	5	4	1	5	5	0	1	1	3	1	1	2	5	5	2	3	5	3	1	1	2	2	1	2	2	2	2	6	2	2	6	7	5	3	7	6	1	1	1	1	8	4	1	1	1	2	7	4	2	3	1	3	5	5	5	5	1	1	2	2	2	2	3	1	1	2	1	1	2	1	2	4	3	2	1	1	1	3	4	2	10	2	3	3	3	3	1	3	4	5	2	4	4	2	2	2	4	2	1	2	1	70	50	60	3	3	1	2	3	3	2	1	1	1	2
358	2	2	2	0	2	2	2	0	1	1	5	1	1	2	1	2	5	1	2	2	5	5	1	1	7	6	1	5	5	50	40	50	50	40	50	70	50	15	50	15	50	55	35	3	2	3	1	1	1	1	2	2	1	1	1	1	5	1	1	1	55	35	58	23	40	30	70	85	40	2	1	1	1	1	2	2	2	6	1	1	1	1	1	0	0	0	3	2	1	1	1	2	1	9	2	49	2	4	5	2	5	4	3	5	2	5	5	2	2	2	2	2	5	3	3	3	1	1	3	2	3	2	1	1	1	3	2	2	1	5	1	70	4	1	4	5	4	5	1	0	2	2	1	2	2	2	5	1	5	1	1	4	1	2	2	1	1	1	3	1	1	7	1	2	6	4	5	4	5	6	4	1	1	1	5	7	1	2	3	1	3	6	3	4	2	5	2	3	3	3	2	2	3	1	3	2	3	1	2	3	2	3	2	3	1	2	4	2	1	1	1	3	6	2	8	2	2	1	3	3	1	3	5	2	4	5	2	2	2	2	2	2	1	2	1	50	50	85	4	4	4	5	2	1	2	1	2	1	1
359	0	0	0	0	0	0	0	0	1	1	5	2	1	2	1	2	3	1	2	4	5	6	1	1	3	4	1	5	5	60	70	70	85	70	97	30	85	65	97	50	97	50	70	1	2	3	2	1	2	1	1	1	1	1	2	2	1	5	5	1	50	85	55	65	85	70	15	40	85	1	1	1	1	1	2	2	3	6	1	1	1	2	3	50	100	0	3	1	1	1	2	2	7	1	2	56	1	4	4	2	4	4	4	4	2	5	1	3	5	2	5	1	5	1	2	1	1	1	3	2	1	1	2	1	2	2	1	2	1	5	1	70	1	1	5	5	1	5	1	0	1	1	1	2	2	2	5	3	2	4	3	2	3	1	1	1	2	1	4	4	4	5	4	2	4	7	6	2	6	5	1	2	1	1	7	5	1	1	2	1	8	4	3	1	1	3	5	5	5	5	1	1	2	1	2	1	3	2	1	2	1	1	1	1	3	6	4	1	1	2	1	1	4	3	7	2	3	2	1	3	1	1	5	3	3	5	2	1	1	1	1	2	1	2	1	100	70	85	3	3	2	2	3	1	2	1	1	1	2
361	0	0	0	0	0	0	0	0	3	1	3	2	1	2	4	2	2	1	2	1	1	4	1	1	3	2	3	5	5	15	30	50	50	50	50	50	85	30	40	30	50	50	50	2	1	2	1	2	1	2	1	1	1	1	2	2	1	5	5	1	30	80	55	45	60	50	0	60	60	1	5	1	5	1	2	2	3	6	1	3	1	1	2	0	50	100	3	1	1	1	1	2	0	1	2	49	2	4	4	2	4	2	7	6	1	3	3	1	3	4	3	3	5	3	3	3	1	5	3	1	1	2	2	1	1	3	2	2	1	4	1	40	1	2	3	3	2	5	5	0	1	1	2	2	2	2	5	0	5	1	4	5	3	2	1	1	1	2	4	4	4	5	3	4	5	7	6	1	7	1	1	2	1	2	5	5	2	2	1	2	4	0	3	3	3	3	5	5	5	5	1	1	3	2	2	2	3	2	1	2	1	1	2	1	1	3	4	1	1	1	2	1	5	4	6	2	3	1	2	2	2	3	4	4	3	4	2	1	2	2	2	2	1	2	2	70	50	85	4	4	4	4	2	3	2	1	2	1	1
364	1	1	1	0	1	1	1	0	2	1	6	1	1	2	2	2	3	3	2	1	5	2	1	1	3	3	3	0	0	40	97	40	40	85	50	30	70	15	40	30	70	58	78	1	4	3	1	1	2	1	1	1	1	1	1	2	1	1	1	1	50	70	51	61	70	63	30	60	85	1	5	5	5	5	2	1	1	7	1	1	3	1	2	25	50	0	3	1	1	1	1	2	7	1	2	49	2	5	6	2	6	4	5	5	2	5	3	3	2	2	2	4	5	3	3	3	1	1	5	2	2	2	2	1	1	2	2	2	5	5	1	70	1	1	2	2	3	5	1	0	1	2	1	1	1	1	5	0	4	1	3	4	1	1	1	1	1	5	5	4	3	5	3	2	5	4	5	3	5	7	1	1	1	1	8	2	1	1	1	2	8	2	2	2	1	3	5	4	5	5	1	1	2	1	2	2	2	2	1	2	2	3	2	1	3	5	4	1	1	1	1	2	3	0	10	2	3	1	3	3	1	3	4	4	3	4	2	1	1	1	2	1	1	2	1	15	15	66	1	2	2	1	2	2	2	1	1	1	2
365	1	1	1	0	1	1	1	0	3	1	7	1	3	2	2	2	1	2	2	1	3	5	5	2	5	3	1	0	0	70	40	50	70	70	70	60	70	60	85	70	70	65	55	1	2	3	1	1	2	1	2	1	1	1	1	2	1	5	5	1	49	99	50	85	97	85	0	15	97	1	5	1	5	1	2	1	6	3	1	1	1	2	1	50	0	0	3	1	1	1	3	2	0	1	2	59	2	3	4	2	5	4	4	7	1	3	5	2	1	5	1	1	5	5	4	1	1	1	3	3	1	1	1	1	1	1	1	2	1	5	2	85	1	1	5	5	1	1	1	0	1	2	1	1	1	1	5	5	1	1	5	1	1	1	1	1	1	1	4	4	4	5	5	6	2	2	2	2	6	4	1	1	2	1	8	5	2	1	2	3	8	3	3	3	3	4	5	5	5	5	1	1	3	3	4	2	3	2	3	5	1	1	3	1	3	7	4	2	1	1	1	1	5	6	3	1	4	3	2	2	2	2	5	1	3	4	4	1	1	1	1	1	1	2	1	70	85	70	1	3	3	3	1	2	2	1	2	2	2
366	1	1	1	0	1	1	1	0	1	1	4	1	3	1	1	2	3	1	1	1	2	5	1	1	4	1	4	5	5	40	85	60	85	85	70	60	60	50	60	70	30	73	63	1	4	3	2	1	2	2	1	1	1	1	2	2	1	5	5	1	43	93	70	50	85	70	0	70	85	1	1	1	1	1	1	2	5	6	1	1	2	2	3	100	100	0	3	1	1	2	2	2	6	1	2	61	2	4	6	2	6	2	5	4	1	3	5	1	2	2	1	2	5	1	1	3	1	5	3	1	1	1	1	1	1	3	2	2	5	5	1	70	1	2	4	2	1	1	1	0	1	1	3	1	1	2	5	0	1	1	2	4	3	1	1	2	1	4	5	4	2	6	4	5	7	7	6	3	7	3	1	2	1	2	8	5	1	1	2	1	8	2	1	1	1	3	5	5	5	5	1	1	1	1	2	2	3	2	1	1	1	1	2	1	2	4	2	1	2	5	1	2	7	9	5	1	3	1	3	3	3	3	3	4	3	4	2	2	1	1	2	2	2	2	1	60	40	70	4	6	3	2	2	1	2	1	1	1	2
367	2	2	2	0	1	1	1	0	4	1	1	2	3	1	3	1	2	1	2	1	0	3	5	2	7	1	4	5	5	60	60	60	50	30	50	30	60	50	30	70	50	30	50	3	2	2	2	1	1	1	2	2	1	1	1	1	5	1	1	5	38	28	49	45	15	40	60	50	70	1	5	5	5	5	2	2	4	5	1	1	3	2	1	75	0	0	3	2	1	1	1	2	4	9	2	44	2	1	1	2	3	2	4	6	1	3	1	1	3	1	3	1	5	5	4	3	1	1	3	1	1	1	1	1	2	1	1	1	2	1	1	50	5	2	4	3	4	1	1	0	2	2	3	2	2	2	5	0	2	1	2	3	3	1	2	1	2	2	3	4	6	6	4	3	5	4	6	5	6	4	2	2	1	2	5	5	2	3	2	2	3	6	5	4	3	5	3	3	2	3	1	2	2	3	3	2	2	2	3	5	3	4	2	2	3	6	4	2	1	1	2	3	5	6	4	1	4	2	3	1	3	3	3	3	3	4	3	2	2	2	4	2	2	2	2	40	40	85	5	2	1	6	3	1	1	1	2	1	2
371	1	1	1	0	1	1	1	0	1	1	4	2	1	2	1	2	4	1	2	2	4	6	5	1	1	4	1	5	5	85	30	72	49	70	75	15	71	70	72	15	76	43	78	1	3	3	2	1	2	2	1	1	1	1	1	2	1	5	5	1	43	93	50	70	85	70	0	30	97	1	1	5	1	1	2	2	2	7	2	2	2	2	3	100	100	75	3	1	1	1	2	1	3	1	2	38	1	5	4	2	7	4	4	4	1	1	5	2	2	2	5	1	5	3	3	1	1	1	3	1	1	1	1	1	1	1	1	2	1	1	1	60	1	1	5	5	2	5	1	0	1	1	3	2	2	2	5	3	2	4	2	2	1	1	1	1	1	2	3	3	2	7	2	2	7	6	6	2	7	5	2	1	1	2	9	1	1	1	1	2	9	0	1	1	1	3	5	5	4	3	1	1	1	1	2	2	3	1	1	2	3	4	2	1	2	4	4	1	2	4	1	1	3	0	10	2	2	3	1	3	1	3	4	3	4	3	4	1	1	2	4	1	1	2	2	69	57	69	3	3	3	2	3	1	2	1	2	1	1
372	2	2	2	0	2	2	2	0	9	2	6	2	1	2	1	2	1	1	1	1	2	4	1	1	1	2	6	1	5	40	97	60	70	40	70	0	85	0	85	60	85	20	70	1	4	3	1	1	1	1	1	1	1	1	1	1	1	3	5	1	45	65	50	60	60	60	30	40	70	1	1	1	5	1	2	1	6	1	1	1	1	1	2	0	50	0	3	1	1	1	1	2	7	1	2	54	2	4	7	2	7	4	3	6	1	2	6	2	1	3	1	1	5	5	4	3	1	1	3	3	2	2	2	1	2	3	2	2	1	5	1	70	2	3	2	2	1	1	2	0	1	1	1	1	1	2	5	0	5	1	5	5	3	1	2	1	2	1	7	4	4	5	6	4	1	5	5	7	6	1	4	1	2	1	8	4	1	1	2	3	8	1	2	2	1	5	4	5	3	5	1	2	3	3	4	2	3	2	3	4	1	1	2	1	3	6	4	1	1	1	1	2	5	5	5	2	2	2	2	2	1	3	4	2	2	5	2	1	2	1	2	2	1	2	1	85	40	100	2	2	2	1	2	1	2	1	2	1	1
373	1	1	1	0	1	1	1	0	2	1	3	2	1	2	3	1	2	1	2	1	4	3	1	1	1	1	3	5	5	30	70	30	30	30	50	60	50	15	97	0	40	45	35	1	3	2	1	2	1	1	2	2	1	1	1	1	5	1	1	1	30	20	51	42	0	38	60	40	0	2	1	1	1	1	1	2	1	4	1	1	2	2	2	100	50	0	3	2	1	1	1	1	0	9	2	49	2	4	4	1	7	2	5	3	1	3	3	1	1	4	4	2	5	5	4	5	1	1	5	1	1	2	3	1	1	3	2	1	1	5	2	40	5	1	4	4	2	5	1	0	2	2	1	2	2	2	5	0	5	1	1	5	3	2	2	1	2	1	1	2	7	7	2	1	4	7	1	4	6	4	2	1	2	1	3	7	2	2	7	1	0	7	5	5	5	5	2	3	3	3	2	2	3	3	4	2	1	2	3	4	1	1	1	1	3	5	4	1	1	1	2	3	5	3	7	1	3	2	3	1	3	3	5	4	2	3	2	2	2	2	3	2	1	2	2	40	50	100	3	6	4	1	2	1	1	1	1	1	1
374	1	1	1	0	1	1	1	0	3	1	2	1	1	2	3	1	4	1	2	1	1	6	1	1	1	4	2	5	5	50	40	30	85	30	50	40	60	40	40	15	50	35	45	3	3	2	1	1	1	1	1	2	1	1	1	2	5	1	5	5	45	35	53	41	30	43	60	50	30	2	5	5	1	5	2	2	2	6	1	1	3	1	2	25	50	0	3	2	1	1	1	2	0	9	2	76	3	6	6	1	6	1	3	5	1	3	5	2	2	5	2	5	5	3	3	1	5	1	5	2	2	2	2	1	1	2	2	2	1	5	1	60	4	2	2	2	4	5	1	0	2	2	3	2	2	2	5	0	4	2	3	4	1	2	1	3	1	1	6	2	1	7	1	2	7	7	5	2	7	5	2	1	2	1	3	8	1	2	3	3	2	8	4	4	3	5	3	4	4	4	2	2	2	3	3	2	1	1	2	3	1	2	2	1	2	4	4	2	2	4	2	4	8	0	10	2	3	2	1	3	1	3	4	5	3	4	2	1	2	2	4	1	1	2	1	50	50	85	3	4	4	3	3	1	2	1	2	1	1
376	0	0	0	0	0	0	0	0	4	1	4	2	1	2	3	1	1	2	2	4	3	5	1	2	4	2	6	0	0	60	64	70	40	72	70	0	60	70	50	50	70	998	67	1	2	1	2	1	2	2	1	1	1	1	2	2	1	5	5	1	55	55	52	52	60	52	50	51	70	1	5	1	5	1	2	2	4	5	1	1	1	1	2	0	50	0	3	1	1	1	1	2	3	2	2	34	2	4	4	1	5	4	6	4	1	1	1	2	2	4	2	1	5	2	3	2	5	1	4	2	2	1	1	1	1	1	2	1	1	3	2	60	1	1	1	1	2	1	1	0	1	1	3	2	2	2	5	5	5	1	2	5	3	1	2	1	1	2	5	4	4	6	4	4	7	7	4	3	4	1	1	2	1	2	7	5	2	2	2	2	7	5	1	1	1	3	5	5	4	5	1	1	1	1	2	1	2	2	1	1	1	2	3	1	1	1	2	2	1	2	1	1	5	5	5	1	4	3	1	1	1	3	4	4	3	3	3	2	2	1	3	2	2	2	2	55	85	70	4	4	3	3	2	2	2	1	1	1	2
377	1	1	1	0	1	1	1	0	2	1	4	1	1	2	4	2	4	1	2	1	2	4	1	1	1	1	3	5	5	70	60	15	85	0	70	70	50	30	50	0	50	35	15	3	4	3	1	2	1	1	2	2	2	2	1	1	5	1	1	5	49	2	49	2	0	0	97	97	15	2	5	1	1	1	1	2	2	6	1	1	3	3	3	50	100	0	3	2	1	1	2	2	6	9	2	84	3	7	6	2	6	3	1	7	1	3	5	1	2	1	1	2	5	5	4	1	1	1	5	2	1	1	2	1	1	3	2	2	5	5	1	0	5	1	4	2	3	5	1	0	2	2	3	2	2	2	5	3	5	1	1	5	1	1	1	1	2	4	2	1	1	7	2	1	7	6	7	2	6	6	3	1	2	1	2	8	1	2	3	2	0	9	5	5	4	5	1	1	3	1	2	2	3	3	3	2	1	1	3	4	2	3	1	1	1	2	4	2	1	1	2	1	8	2	8	1	3	3	3	1	1	3	2	2	4	4	3	2	2	2	1	2	1	2	2	30	50	100	4	5	2	3	2	3	2	1	2	1	1
379	0	0	0	0	0	0	0	0	2	1	7	1	3	2	4	2	3	3	2	1	1	6	1	2	3	1	3	5	5	70	30	15	85	0	50	60	70	30	50	15	50	30	20	3	4	3	1	2	1	1	2	2	2	2	1	1	5	1	1	5	35	15	43	8	0	0	70	85	0	2	5	1	1	1	2	2	1	6	1	1	1	1	1	0	0	0	3	2	1	2	2	2	6	9	2	84	3	6	7	2	5	3	3	7	1	3	5	1	1	5	1	2	5	5	5	3	1	1	5	3	2	2	2	1	3	3	2	2	5	5	1	60	5	2	3	2	2	5	1	0	2	1	1	2	2	2	5	5	5	2	2	4	1	3	2	1	2	5	2	1	1	7	1	1	7	5	6	2	6	6	1	1	2	1	2	8	2	2	3	1	1	9	5	5	5	5	1	2	3	3	2	2	3	3	3	2	2	2	3	4	3	4	2	1	2	4	4	2	1	1	2	2	9	1	8	1	2	1	3	1	1	3	4	2	2	5	1	2	2	2	1	1	1	2	1	50	85	70	2	3	2	2	1	1	2	1	2	1	2
380	1	1	1	0	1	1	1	0	4	1	4	2	1	2	3	1	3	1	2	1	3	3	1	2	1	1	3	5	5	50	50	0	50	15	60	85	60	40	15	50	30	50	15	3	2	2	1	2	1	1	2	2	2	1	1	1	5	1	1	5	56	9	54	38	15	85	97	64	15	2	5	1	1	5	1	2	2	6	1	1	1	3	3	25	100	0	3	2	1	1	2	1	3	9	2	74	3	6	3	1	2	1	4	5	1	2	5	1	3	2	3	2	1	5	5	5	5	5	5	2	3	1	1	1	1	2	1	2	1	5	1	50	5	1	2	2	2	5	1	0	2	2	1	2	2	2	5	0	2	2	2	2	1	2	2	1	2	1	2	4	7	1	6	1	6	2	4	7	3	6	2	2	1	1	3	10	2	2	2	2	2	10	4	5	5	5	3	2	4	3	1	2	3	3	4	2	1	2	3	4	1	1	2	1	3	6	4	1	1	1	2	1	7	3	9	1	4	1	3	1	1	3	5	4	3	5	2	2	2	2	4	2	2	2	2	15	30	100	4	5	4	4	3	1	2	1	1	1	1
381	1	1	1	0	1	1	1	0	3	1	3	2	1	2	3	1	4	4	2	2	0	6	1	2	1	6	2	0	0	50	30	40	70	30	85	70	85	50	50	40	40	50	30	3	2	1	1	2	2	2	2	2	2	2	1	2	5	1	1	5	35	15	54	31	0	30	70	73	15	2	1	1	1	1	2	2	2	3	1	1	2	2	3	100	100	0	3	2	1	1	1	2	1	9	2	64	3	5	5	2	6	1	2	5	1	3	5	2	2	5	1	3	5	3	3	3	5	5	3	2	2	1	3	3	2	3	2	2	1	1	1	50	5	5	2	2	4	5	5	0	2	1	1	1	2	1	5	0	2	2	5	4	1	3	2	2	2	2	1	1	1	7	1	1	4	7	6	3	5	4	2	1	2	1	3	7	1	7	3	2	1	7	2	5	1	5	2	3	3	2	2	2	3	3	2	2	3	1	2	3	1	2	2	2	3	6	4	2	2	5	2	2	8	3	7	1	2	1	1	1	1	3	5	4	2	5	2	1	2	2	5	2	1	2	1	60	50	85	4	4	4	4	2	2	2	1	2	1	1
382	1	1	1	0	1	1	1	0	4	1	7	2	1	2	2	2	3	3	1	2	5	4	1	1	1	4	1	0	0	50	60	50	50	40	60	60	60	30	50	30	50	50	40	3	2	2	1	2	1	1	1	2	1	2	1	1	5	1	1	1	50	30	60	50	30	60	70	60	15	2	1	5	1	5	1	2	2	5	1	1	1	1	2	0	50	0	3	2	1	1	2	1	3	9	2	49	2	7	4	2	7	1	4	5	1	2	5	2	1	1	2	2	5	5	4	3	1	2	5	3	2	2	2	1	2	3	2	2	1	5	1	50	5	1	2	1	1	5	1	0	2	2	1	1	1	1	5	0	2	2	1	2	1	2	2	1	2	2	3	3	5	6	4	2	4	4	5	3	5	5	3	2	2	1	5	5	2	2	3	2	2	7	3	4	3	5	2	2	3	3	2	2	3	3	3	2	2	1	2	3	1	1	2	3	1	2	3	1	2	4	2	3	5	4	6	2	2	2	3	3	3	3	4	3	2	3	2	2	2	2	3	2	2	2	2	30	60	60	4	5	4	3	2	2	2	1	1	1	1
384	1	1	1	0	1	1	1	0	2	1	4	2	1	2	3	1	3	1	2	1	2	6	5	1	1	4	1	5	5	50	50	15	97	0	85	70	85	60	40	30	70	35	15	3	4	1	1	2	1	1	2	2	2	2	1	1	5	1	1	5	30	20	54	27	0	30	60	78	0	2	5	1	1	5	2	2	2	6	1	1	2	2	3	100	100	0	3	2	1	1	2	2	1	9	2	90	3	6	6	1	7	2	3	6	1	3	5	1	2	5	1	2	5	5	5	3	1	5	5	2	2	2	3	1	2	3	1	2	1	5	1	70	5	4	3	2	4	5	1	0	2	2	3	2	2	2	5	0	5	1	2	5	1	2	2	2	2	1	1	1	1	7	1	1	5	7	6	3	7	5	2	2	1	1	0	10	1	2	3	3	0	9	5	5	5	5	2	2	2	2	2	2	3	3	3	2	3	2	2	3	1	2	2	1	3	6	4	2	2	4	3	1	9	0	10	1	4	2	3	3	1	1	5	4	4	4	2	1	1	1	4	1	1	2	2	40	50	100	2	3	1	1	2	1	2	1	1	1	1
